PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Coprosma_lucida,,10.4,6.7,6,University of Canterbury herbarium specimen number 13398,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora database (10mm). 
Coprosma_lucida,,9.6,7.4,6,University of Canterbury herbarium specimen number 39770,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora database (10mm). 
Coprosma_lucida,,11.2,7.1,6,University of Canterbury herbarium specimen number 13397,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora database (10mm). 
Coprosma_macrocarpa,subsp. Minor,7.5,6,9,http://www.nzflora.info/factsheet/taxon/Coprosma-macrocarpa-subsp-minor.html,,
Coprosma_parviflora,,5,5,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  NZ Plant Conservation Network,,
Coprosma_perpusilla,,4.4,3.7,8,University of Canterbury herbarium specimen number 16714,https://keyserver.lucidcentral.org/weeds/data/media/Html/coprosma_perpusilla_subsp._subantarctica.htm.,
Coprosma_perpusilla,,5.5,2.7,8,University of Canterbury herbarium specimen number 16711,https://keyserver.lucidcentral.org/weeds/data/media/Html/coprosma_perpusilla_subsp._subantarctica.htm.,
Coprosma_perpusilla,,4.8,3.9,8,University of Canterbury herbarium specimen number 16717,https://keyserver.lucidcentral.org/weeds/data/media/Html/coprosma_perpusilla_subsp._subantarctica.htm.,
Coprosma_petriei,,7,7,0.1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_propinqua,,7,7,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Young & Kelly 2018 Austral Ecology 'Effects of seed dispersal and microsite features on establishment in NZ fleshy-fruited perennial mountain plants',,Fruit length from Eco Traits. Fruit diameter from Young et al. 2018.
Coprosma_pseudocuneata,,4.7,3.7,3,University of Canterbury herbarium specimen number 35915,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora database (length = 6mm).
Coprosma_pseudocuneata,,4.9,3,3,University of Canterbury herbarium specimen number 41881,,Fruit length also available at Eco Traits NZ Flora database (length = 6mm).
Coprosma_pseudocuneata,,5.4,4.2,3,University of Canterbury herbarium specimen number 29664,,Fruit length also available at Eco Traits NZ Flora database (length = 6mm).
Coprosma_repens,,10,9,8,NZ Plant Conservation Network -  https://www.doc.govt.nz/get-involved/conservation-activities/attract-birds-to-your-garden/what-to-plant/,,
Coprosma_rhamnoides,,4,3,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_rigida,,5,5,5,University of Canterbury herbarium specimen number 11654,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (5mm).
Coprosma_rigida,,4.6,3.4,5,University of Canterbury herbarium specimen number 5069,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (5mm).
Coprosma_rigida,,4.3,4,5,University of Canterbury herbarium specimen number 5039,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (5mm).
Coprosma_rigida,,5,4.3,5,University of Canterbury herbarium specimen number 37134,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Eco Traits NZ Flora (5mm).
Coprosma_robusta,,6.1,4.4,6,University of Canterbury herbarium specimen number 36880,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  https://www.doc.govt.nz/get-involved/conservation-activities/attract-birds-to-your-garden/what-to-plant/,Fruit length also available at Eco Traits NZ Flora (8mm). 
Coprosma_robusta,,7.5,3.4,6,University of Canterbury herbarium specimen number 16627,,Fruit length also available at Eco Traits NZ Flora (8mm). 
Coprosma_robusta,,6,3,6,University of Canterbury herbarium specimen number 27616,,Fruit length also available at Eco Traits NZ Flora (8mm). 
Coprosma_robusta,,5.4,4.1,6,University of Canterbury herbarium specimen number 21637,,Fruit length also available at Eco Traits NZ Flora (8mm). 
Coprosma_rotundifolia,,4,3,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coprosma_rugosa,,7,7,3,Flora of NZ Series H. H. Allan,,
Coprosma_serrulata,,7.5,7.5,1,NZ Plant Conservation Network,,Fruit length used as fruit diameter as fruit is globose to semiglobose.
Coprosma_sp,,8.936,7.77,4.4,,,Fruit size and height calculated as the mean of the 27 Coprosma species present in this dataset.
Coprosma_tenuifolia,,6.4,3.5,5,University of Canterbury herbarium specimen number 4337,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -    NZ Plant Conservation Network,Fruit length also available at Eco Traits NZ Flora (8mm).
Coprosma_tenuifolia,,5.9,3.5,5,University of Canterbury herbarium specimen number 4341,,Fruit length also available at Eco Traits NZ Flora (8mm).
Coprosma_tenuifolia,,6.8,3.8,5,University of Canterbury herbarium specimen number 25025,,Fruit length also available at Eco Traits NZ Flora (8mm).
Coprosma_tenuifolia,,7.1,4.5,5,University of Canterbury herbarium specimen number 16638,,Fruit length also available at Eco Traits NZ Flora (8mm).
Cordyline_australis,,4,4,20,"NZ Plant Conservation Network; Flora of NZ Series H. H. Allan; Beever R. E. & Parkes S. L. ‘Self-incompatibility in Cordyline australis (Asteliaceae)’ NZ J Botany, 1996, 34:1, 135-137.",,
Coriaria_angustissima,,3.5,3.5,0.5,University of Canterbury herbarium specimen number 30360,Flora of NZ Series H. H. Allan,
Coriaria_angustissima,,2.5,2.7,0.5,University of Canterbury herbarium specimen number 6670,Flora of NZ Series H. H. Allan,
Coriaria_angustissima,,4.5,3.2,0.5,University of Canterbury herbarium specimen number 11624,Flora of NZ Series H. H. Allan,
Coriaria_arborea,,4,4,7,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Coriaria_plumosa,,2,2,0.4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit length used as diameter as fruit is round.
Coriaria_sarmentosa,,2,2,1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit length used as diameter as fruit is round.
Coriaria_sp,,2.875,2.78,2.23,,,Fruit size and plant height calculated as the average between the four Coriaria species present in this dataset.
Corokia_cotoneaster,,6.4,3.9,3,University of Canterbury herbarium specimen number 43267,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Ecol Traits NZ Flora database (fruit length = 7 mm).
Corokia_cotoneaster,,5.9,3.3,3,University of Canterbury herbarium specimen number 43266,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Ecol Traits NZ Flora database (fruit length = 7 mm).
Corokia_cotoneaster,,5.5,3.9,3,University of Canterbury herbarium specimen number 43061,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Ecol Traits NZ Flora database (fruit length = 7 mm).
Corokia_cotoneaster,,6.5,4.5,3,University of Canterbury herbarium specimen number 42682,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available at Ecol Traits NZ Flora database (fruit length = 7 mm).
Corokia_macrocarpa,,10.1,8.5,6,University of Canterbury herbarium specimen number 19823,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,Fruit length also available at Flora of NZ Series H. H. Allan (10 mm).
Corokia_sp,,8.0875,6.2,4.5,,,Fruit size and plant height calculated as the average between the two Corokia species present in this dataset.
Corynocarpus_laevigatus,,30,25,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Cotoneaster_coriaceus,,7.5,7.3,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  http://www.nzflora.info/factsheet/Taxon/Cotoneaster-coriaceus.html,,
Cotoneaster_franchetii,,7,5,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Cotoneaster_glaucophyllus,,6,5,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
