"cell_id";"species";"observations";"guild";"status";"record.type"
51;"Branta_canadensis";5;"birds";"Exotic";"TIER1"
53;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
55;"Branta_canadensis";1;"birds";"Exotic";"TIER1"
9;"Cacatua_galerita";1;"birds";"Exotic";"TIER1"
2;"Callaeas_cinereus";2;"birds";"Native";"TIER1"
4;"Callaeas_cinereus";3;"birds";"Native";"TIER1"
7;"Callaeas_cinereus";3;"birds";"Native";"TIER1"
12;"Callaeas_cinereus";1;"birds";"Native";"TIER1"
14;"Callaeas_cinereus";1;"birds";"Native";"TIER1"
15;"Callaeas_cinereus";1;"birds";"Native";"TIER1"
29;"Callaeas_cinereus";1;"birds";"Native";"TIER1"
1;"Carduelis_carduelis";4;"birds";"Exotic";"TIER1"
2;"Carduelis_carduelis";6;"birds";"Exotic";"TIER1"
4;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
5;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
6;"Carduelis_carduelis";3;"birds";"Exotic";"TIER1"
7;"Carduelis_carduelis";3;"birds";"Exotic";"TIER1"
9;"Carduelis_carduelis";2;"birds";"Exotic";"TIER1"
10;"Carduelis_carduelis";6;"birds";"Exotic";"TIER1"
13;"Carduelis_carduelis";2;"birds";"Exotic";"TIER1"
14;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
15;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
18;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
19;"Carduelis_carduelis";8;"birds";"Exotic";"TIER1"
20;"Carduelis_carduelis";3;"birds";"Exotic";"TIER1"
22;"Carduelis_carduelis";2;"birds";"Exotic";"TIER1"
27;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
28;"Carduelis_carduelis";10;"birds";"Exotic";"TIER1"
29;"Carduelis_carduelis";7;"birds";"Exotic";"TIER1"
31;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
32;"Carduelis_carduelis";8;"birds";"Exotic";"TIER1"
33;"Carduelis_carduelis";26;"birds";"Exotic";"TIER1"
37;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
38;"Carduelis_carduelis";10;"birds";"Exotic";"TIER1"
41;"Carduelis_carduelis";9;"birds";"Exotic";"TIER1"
42;"Carduelis_carduelis";2;"birds";"Exotic";"TIER1"
43;"Carduelis_carduelis";3;"birds";"Exotic";"TIER1"
45;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
46;"Carduelis_carduelis";9;"birds";"Exotic";"TIER1"
47;"Carduelis_carduelis";10;"birds";"Exotic";"TIER1"
48;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
49;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
50;"Carduelis_carduelis";8;"birds";"Exotic";"TIER1"
51;"Carduelis_carduelis";5;"birds";"Exotic";"TIER1"
52;"Carduelis_carduelis";2;"birds";"Exotic";"TIER1"
53;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
54;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
55;"Carduelis_carduelis";1;"birds";"Exotic";"TIER1"
1;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
2;"Chloris_chloris";4;"birds";"Exotic";"TIER1"
5;"Chloris_chloris";4;"birds";"Exotic";"TIER1"
6;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
7;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
8;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
9;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
10;"Chloris_chloris";5;"birds";"Exotic";"TIER1"
13;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
14;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
15;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
16;"Chloris_chloris";1;"birds";"Exotic";"TIER1"
18;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
19;"Chloris_chloris";7;"birds";"Exotic";"TIER1"
20;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
22;"Chloris_chloris";5;"birds";"Exotic";"TIER1"
25;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
27;"Chloris_chloris";9;"birds";"Exotic";"TIER1"
28;"Chloris_chloris";13;"birds";"Exotic";"TIER1"
29;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
31;"Chloris_chloris";5;"birds";"Exotic";"TIER1"
32;"Chloris_chloris";29;"birds";"Exotic";"TIER1"
33;"Chloris_chloris";54;"birds";"Exotic";"TIER1"
36;"Chloris_chloris";1;"birds";"Exotic";"TIER1"
37;"Chloris_chloris";18;"birds";"Exotic";"TIER1"
38;"Chloris_chloris";9;"birds";"Exotic";"TIER1"
40;"Chloris_chloris";7;"birds";"Exotic";"TIER1"
41;"Chloris_chloris";20;"birds";"Exotic";"TIER1"
42;"Chloris_chloris";8;"birds";"Exotic";"TIER1"
43;"Chloris_chloris";5;"birds";"Exotic";"TIER1"
45;"Chloris_chloris";1;"birds";"Exotic";"TIER1"
46;"Chloris_chloris";18;"birds";"Exotic";"TIER1"
47;"Chloris_chloris";13;"birds";"Exotic";"TIER1"
48;"Chloris_chloris";1;"birds";"Exotic";"TIER1"
49;"Chloris_chloris";10;"birds";"Exotic";"TIER1"
50;"Chloris_chloris";10;"birds";"Exotic";"TIER1"
51;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
52;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
53;"Chloris_chloris";3;"birds";"Exotic";"TIER1"
54;"Chloris_chloris";2;"birds";"Exotic";"TIER1"
55;"Chloris_chloris";1;"birds";"Exotic";"TIER1"
14;"Cyanoramphus_auriceps";1;"birds";"Native";"TIER1"
18;"Cyanoramphus_auriceps";2;"birds";"Native";"TIER1"
19;"Cyanoramphus_auriceps";5;"birds";"Native";"TIER1"
22;"Cyanoramphus_auriceps";1;"birds";"Native";"TIER1"
27;"Cyanoramphus_auriceps";11;"birds";"Native";"TIER1"
28;"Cyanoramphus_auriceps";2;"birds";"Native";"TIER1"
30;"Cyanoramphus_auriceps";4;"birds";"Native";"TIER1"
31;"Cyanoramphus_auriceps";1;"birds";"Native";"TIER1"
32;"Cyanoramphus_auriceps";18;"birds";"Native";"TIER1"
37;"Cyanoramphus_auriceps";4;"birds";"Native";"TIER1"
38;"Cyanoramphus_auriceps";2;"birds";"Native";"TIER1"
40;"Cyanoramphus_auriceps";2;"birds";"Native";"TIER1"
41;"Cyanoramphus_auriceps";9;"birds";"Native";"TIER1"
45;"Cyanoramphus_auriceps";1;"birds";"Native";"TIER1"
46;"Cyanoramphus_auriceps";9;"birds";"Native";"TIER1"
49;"Cyanoramphus_auriceps";8;"birds";"Native";"TIER1"
50;"Cyanoramphus_auriceps";4;"birds";"Native";"TIER1"
53;"Cyanoramphus_auriceps";6;"birds";"Native";"TIER1"
54;"Cyanoramphus_auriceps";2;"birds";"Native";"TIER1"
55;"Cyanoramphus_auriceps";3;"birds";"Native";"TIER1"
38;"Cyanoramphus_malherbi";1;"birds";"Native";"TIER1"
5;"Cyanoramphus_novaezelandiae";1;"birds";"Native";"TIER1"
7;"Cyanoramphus_novaezelandiae";2;"birds";"Native";"TIER1"
13;"Cyanoramphus_novaezelandiae";1;"birds";"Native";"TIER1"
18;"Cyanoramphus_novaezelandiae";1;"birds";"Native";"TIER1"
29;"Cyanoramphus_novaezelandiae";1;"birds";"Native";"TIER1"
30;"Cyanoramphus_novaezelandiae";1;"birds";"Native";"TIER1"
32;"Cyanoramphus_novaezelandiae";4;"birds";"Native";"TIER1"
54;"Cyanoramphus_novaezelandiae";8;"birds";"Native";"TIER1"
1;"Fringilla_coelebs";6;"birds";"Exotic";"TIER1"
2;"Fringilla_coelebs";14;"birds";"Exotic";"TIER1"
4;"Fringilla_coelebs";13;"birds";"Exotic";"TIER1"
5;"Fringilla_coelebs";15;"birds";"Exotic";"TIER1"
6;"Fringilla_coelebs";1;"birds";"Exotic";"TIER1"
7;"Fringilla_coelebs";3;"birds";"Exotic";"TIER1"
8;"Fringilla_coelebs";22;"birds";"Exotic";"TIER1"
9;"Fringilla_coelebs";9;"birds";"Exotic";"TIER1"
10;"Fringilla_coelebs";30;"birds";"Exotic";"TIER1"
12;"Fringilla_coelebs";7;"birds";"Exotic";"TIER1"
13;"Fringilla_coelebs";25;"birds";"Exotic";"TIER1"
14;"Fringilla_coelebs";24;"birds";"Exotic";"TIER1"
15;"Fringilla_coelebs";45;"birds";"Exotic";"TIER1"
16;"Fringilla_coelebs";20;"birds";"Exotic";"TIER1"
17;"Fringilla_coelebs";1;"birds";"Exotic";"TIER1"
18;"Fringilla_coelebs";53;"birds";"Exotic";"TIER1"
19;"Fringilla_coelebs";73;"birds";"Exotic";"TIER1"
20;"Fringilla_coelebs";23;"birds";"Exotic";"TIER1"
22;"Fringilla_coelebs";8;"birds";"Exotic";"TIER1"
25;"Fringilla_coelebs";19;"birds";"Exotic";"TIER1"
27;"Fringilla_coelebs";107;"birds";"Exotic";"TIER1"
28;"Fringilla_coelebs";55;"birds";"Exotic";"TIER1"
29;"Fringilla_coelebs";17;"birds";"Exotic";"TIER1"
30;"Fringilla_coelebs";25;"birds";"Exotic";"TIER1"
31;"Fringilla_coelebs";23;"birds";"Exotic";"TIER1"
32;"Fringilla_coelebs";201;"birds";"Exotic";"TIER1"
33;"Fringilla_coelebs";93;"birds";"Exotic";"TIER1"
36;"Fringilla_coelebs";16;"birds";"Exotic";"TIER1"
37;"Fringilla_coelebs";77;"birds";"Exotic";"TIER1"
38;"Fringilla_coelebs";79;"birds";"Exotic";"TIER1"
40;"Fringilla_coelebs";32;"birds";"Exotic";"TIER1"
41;"Fringilla_coelebs";81;"birds";"Exotic";"TIER1"
42;"Fringilla_coelebs";17;"birds";"Exotic";"TIER1"
43;"Fringilla_coelebs";3;"birds";"Exotic";"TIER1"
45;"Fringilla_coelebs";35;"birds";"Exotic";"TIER1"
46;"Fringilla_coelebs";97;"birds";"Exotic";"TIER1"
47;"Fringilla_coelebs";23;"birds";"Exotic";"TIER1"
48;"Fringilla_coelebs";6;"birds";"Exotic";"TIER1"
49;"Fringilla_coelebs";142;"birds";"Exotic";"TIER1"
50;"Fringilla_coelebs";52;"birds";"Exotic";"TIER1"
