"cell_id";"species";"observations"
24;"Turdus_merula";5
24;"Turdus_philomelos";2
24;"Zosterops_lateralis";14
25;"Acanthis_flammea";1
25;"Acridotheres_tristis";24
25;"Anthus_novaeseelandiae";6
25;"Branta_canadensis";4
25;"Carduelis_carduelis";6
25;"Chloris_chloris";2
25;"Chroicocephalus_novaehollandiae";54
25;"Fringilla_coelebs";15
25;"Gerygone_igata";21
25;"Leptospermum_scoparium";1
25;"Leucopogon_fasciculatus";1
25;"Meleagris_gallopavo";9
25;"Nestor_meridionalis";1
25;"Passer_domesticus";27
25;"Petroica_macrocephala";1
25;"Phasianus_colchicus";2
25;"Platycercus_eximius";3
25;"Porphyrio_melanotus";1
25;"Prosthemadera_novaeseelandiae";5
25;"Rhipidura_fuliginosa";20
25;"Sturnus_vulgaris";4
25;"Tadorna_variegata";5
25;"Turdus_merula";26
25;"Turdus_philomelos";4
25;"Zosterops_lateralis";23
26;"Acanthis_flammea";1
26;"Acridotheres_tristis";56
26;"Anas_chlorotis";1
26;"Anthus_novaeseelandiae";9
26;"Branta_canadensis";48
26;"Carduelis_carduelis";20
26;"Chloris_chloris";14
26;"Chroicocephalus_novaehollandiae";38
26;"Fringilla_coelebs";20
26;"Gallirallus_australis";2
26;"Gerygone_igata";22
26;"Meleagris_gallopavo";17
26;"Nestor_meridionalis";4
26;"Passer_domesticus";45
26;"Phasianus_colchicus";5
26;"Platycercus_eximius";1
26;"Porphyrio_melanotus";19
26;"Prosthemadera_novaeseelandiae";10
26;"Rhipidura_fuliginosa";11
26;"Sturnus_vulgaris";19
26;"Tadorna_variegata";34
26;"Turdus_merula";25
26;"Turdus_philomelos";17
26;"Zosterops_lateralis";22
29;"Acridotheres_tristis";15
29;"Anthus_novaeseelandiae";3
29;"Branta_canadensis";5
29;"Carduelis_carduelis";7
29;"Chloris_chloris";3
29;"Chroicocephalus_novaehollandiae";11
29;"Fringilla_coelebs";9
29;"Gerygone_igata";6
29;"Passer_domesticus";10
29;"Phasianus_colchicus";3
29;"Porphyrio_melanotus";6
29;"Prosthemadera_novaeseelandiae";5
29;"Rhipidura_fuliginosa";9
29;"Sturnus_vulgaris";9
29;"Tadorna_variegata";10
29;"Turdus_merula";4
29;"Turdus_philomelos";6
29;"Zosterops_lateralis";9
30;"Acridotheres_tristis";69
30;"Anthus_novaeseelandiae";3
30;"Branta_canadensis";10
30;"Carduelis_carduelis";30
30;"Chloris_chloris";3
30;"Chroicocephalus_novaehollandiae";66
30;"Fringilla_coelebs";15
30;"Gerygone_igata";7
30;"Meleagris_gallopavo";3
30;"Passer_domesticus";62
30;"Phasianus_colchicus";14
30;"Porphyrio_melanotus";47
30;"Prosthemadera_novaeseelandiae";2
30;"Rhipidura_fuliginosa";8
30;"Sturnus_vulgaris";57
30;"Tadorna_variegata";29
30;"Turdus_merula";28
30;"Turdus_philomelos";12
30;"Zosterops_lateralis";5
31;"Acridotheres_tristis";13
31;"Anas_chlorotis";1
31;"Anthus_novaeseelandiae";3
31;"Branta_canadensis";2
31;"Carduelis_carduelis";9
31;"Chloris_chloris";5
31;"Chroicocephalus_novaehollandiae";11
31;"Fringilla_coelebs";7
31;"Gerygone_igata";8
31;"Meleagris_gallopavo";3
31;"Passer_domesticus";6
31;"Phasianus_colchicus";3
31;"Platycercus_eximius";3
31;"Porphyrio_melanotus";14
31;"Rhipidura_fuliginosa";14
31;"Sturnus_vulgaris";3
31;"Tadorna_variegata";6
31;"Turdus_merula";8
31;"Turdus_philomelos";3
31;"Zosterops_lateralis";7
32;"Acridotheres_tristis";68
32;"Branta_canadensis";2
32;"Carduelis_carduelis";19
32;"Chloris_chloris";3
32;"Chroicocephalus_novaehollandiae";97
32;"Coprosma_arborea";1
32;"Coprosma_grandifolia";1
32;"Coprosma_lucida";1
32;"Coprosma_parviflora";1
32;"Coprosma_rhamnoides";1
32;"Cordyline_australis";1
32;"Fringilla_coelebs";21
32;"Geniostoma_rupestre";1
32;"Gerygone_igata";20
32;"Hedycarya_arborea";1
32;"Hemiphaga_novaeseelandiae";3
32;"Leptospermum_scoparium";1
32;"Leucopogon_fasciculatus";1
32;"Macropiper_excelsum";1
32;"Meleagris_gallopavo";2
32;"Melicytus_ramiflorus";1
32;"Myrsine_australis";1
32;"Passer_domesticus";60
32;"Phasianus_colchicus";1
32;"Phyllocladus_trichomanoides";1
32;"Platycercus_eximius";6
32;"Porphyrio_melanotus";5
32;"Prosthemadera_novaeseelandiae";34
32;"Rhipidura_fuliginosa";17
32;"Rubus_australis";1
32;"Solanum_mauritianum";1
32;"Sturnus_vulgaris";19
32;"Tadorna_variegata";6
32;"Turdus_merula";43
32;"Turdus_philomelos";12
32;"Zosterops_lateralis";20
33;"Acridotheres_tristis";11
33;"Carduelis_carduelis";1
33;"Chloris_chloris";1
33;"Chroicocephalus_novaehollandiae";2
33;"Fringilla_coelebs";2
33;"Gerygone_igata";1
33;"Hemiphaga_novaeseelandiae";1
33;"Meleagris_gallopavo";6
33;"Passer_domesticus";7
33;"Petroica_macrocephala";1
33;"Phasianus_colchicus";1
33;"Platycercus_eximius";3
33;"Porphyrio_melanotus";8
