"cell_id";"guild";"record.type";"richness"
257;"birds";"GBIF";25
257;"plants";"NVS";37
258;"birds";"GBIF";21
259;"birds";"GBIF";18
260;"birds";"GBIF";23
260;"birds";"TIER1";17
260;"plants";"NVS";40
261;"birds";"GBIF";21
261;"birds";"TIER1";11
261;"plants";"GBIF";43
261;"plants";"NVS";25
262;"birds";"GBIF";22
263;"birds";"GBIF";24
263;"plants";"GBIF";1
264;"birds";"GBIF";24
264;"plants";"GBIF";2
264;"plants";"NVS";34
265;"birds";"GBIF";23
265;"plants";"GBIF";4
265;"plants";"NVS";14
266;"birds";"GBIF";22
267;"birds";"GBIF";24
267;"plants";"NVS";30
268;"birds";"GBIF";25
268;"plants";"GBIF";2
268;"plants";"NVS";23
269;"birds";"GBIF";25
269;"plants";"GBIF";6
269;"plants";"NVS";33
270;"birds";"GBIF";25
270;"plants";"GBIF";8
270;"plants";"NVS";62
271;"birds";"GBIF";27
271;"plants";"NVS";33
272;"birds";"GBIF";22
272;"birds";"TIER1";11
272;"plants";"GBIF";1
272;"plants";"NVS";41
273;"birds";"GBIF";19
273;"birds";"TIER1";9
273;"plants";"GBIF";33
273;"plants";"NVS";37
274;"birds";"GBIF";18
274;"birds";"TIER1";12
274;"plants";"NVS";29
275;"birds";"GBIF";24
275;"plants";"GBIF";2
276;"birds";"GBIF";19
277;"birds";"GBIF";23
277;"plants";"NVS";26
278;"birds";"GBIF";20
279;"birds";"GBIF";20
280;"birds";"GBIF";20
280;"plants";"NVS";17
281;"birds";"GBIF";22
281;"plants";"GBIF";1
282;"birds";"GBIF";25
282;"plants";"GBIF";2
282;"plants";"NVS";36
283;"birds";"GBIF";25
284;"birds";"GBIF";26
284;"birds";"TIER1";17
284;"plants";"NVS";47
285;"birds";"GBIF";22
285;"birds";"TIER1";14
285;"plants";"GBIF";7
285;"plants";"NVS";52
286;"birds";"GBIF";22
286;"birds";"TIER1";15
286;"plants";"NVS";18
287;"birds";"GBIF";24
287;"plants";"GBIF";1
288;"birds";"GBIF";22
288;"plants";"NVS";12
289;"birds";"GBIF";22
290;"birds";"GBIF";20
290;"plants";"NVS";5
291;"birds";"GBIF";22
