"cell_id";"ecoregion"
1090;"Taranaki"
1091;"Rangitikei"
1092;"Rangitikei"
1093;"Rangitikei"
1094;"Rangitikei"
1095;"Rangitikei"
1096;"Rangitikei"
1097;"Rangitikei"
1098;"Ruahine"
1099;"Ruahine"
1100;"Hawkes Bay"
1101;"Hawkes Bay"
1102;"Hawkes Bay"
1103;"Hawkes Bay"
1104;"Eastern Hawkes Bay"
1105;"Eastern Hawkes Bay"
1106;"Eastern Hawkes Bay"
1107;"Manawatu"
1108;"Taranaki"
1109;"Rangitikei"
1110;"Rangitikei"
1111;"Rangitikei"
1112;"Rangitikei"
1113;"Rangitikei"
1114;"Rangitikei"
1115;"Rangitikei"
1116;"Ruahine"
1117;"Ruahine"
1118;"Hawkes Bay"
1119;"Hawkes Bay"
1120;"Hawkes Bay"
1121;"Hawkes Bay"
1122;"Hawkes Bay"
1123;"Eastern Hawkes Bay"
1124;"Eastern Hawkes Bay"
1125;"Eastern Hawkes Bay"
1126;"Manawatu"
1127;"Manawatu"
1128;"Rangitikei"
1129;"Manawatu"
1130;"Manawatu"
1131;"Rangitikei"
1132;"Rangitikei"
1133;"Rangitikei"
1134;"Ruahine"
1135;"Ruahine"
1136;"Hawkes Bay"
1137;"Hawkes Bay"
1138;"Hawkes Bay"
1139;"Hawkes Bay"
1140;"Eastern Hawkes Bay"
1141;"Eastern Hawkes Bay"
1142;"Eastern Hawkes Bay"
1143;"Manawatu"
1144;"Manawatu"
1145;"Manawatu"
1146;"Manawatu"
1147;"Manawatu"
1148;"Manawatu"
1149;"Rangitikei"
1150;"Manawatu Gorge"
1151;"Manawatu Gorge"
1152;"Pahiatua"
1153;"Pahiatua"
1154;"Hawkes Bay"
1155;"Eastern Hawkes Bay"
1156;"Eastern Hawkes Bay"
1157;"Eastern Hawkes Bay"
1158;"Eastern Hawkes Bay"
1159;"Manawatu"
1160;"Manawatu"
1161;"Manawatu"
1162;"Manawatu"
1163;"Manawatu"
1164;"Rangitikei"
1165;"Manawatu Gorge"
1166;"Manawatu Gorge"
1167;"Pahiatua"
