"";"source.guild";"recipient.guild";"source.cell";"recipient.cell";"avg.communicability";"scaled.avg.communicability"
"396";"birds";"birds";"114";"87";61258,034896986;0,169720282613845
"397";"birds";"birds";"114";"88";74741,6128308686;0,207077613341088
"398";"birds";"birds";"114";"89";9812,84633724781;0,0271872744779197
"399";"birds";"birds";"114";"99";46849,9642672495;0,129801570956164
"400";"birds";"birds";"115";"1";0,0119461302682605;1,0170794366988e-07
"401";"birds";"birds";"115";"100";69351,3405400616;0,62866750020808
"402";"birds";"birds";"115";"101";88305,8439303914;0,800489418805085
"403";"birds";"birds";"115";"102";51820,4993728913;0,469751030494644
"404";"birds";"birds";"115";"103";1324,9599981182;0,0120107100391583
"405";"birds";"birds";"115";"113";16585,2455765074;0,150344671759029
"406";"birds";"birds";"115";"114";102528,45367881;0,929416884964737
"407";"birds";"birds";"115";"115";110314,817049445;1
"408";"birds";"birds";"115";"116";35934,3056238835;0,325743232825259
"409";"birds";"birds";"115";"117";1322,82653825953;0,0119913702992233
"410";"birds";"birds";"115";"125";22,7851443854911;0,000206539963603729
"411";"birds";"birds";"115";"126";97592,5795462572;0,884673356424642
"412";"birds";"birds";"115";"127";55459,5083425506;0,502738521123259
"413";"birds";"birds";"115";"129";6015,63920129593;0,0545315550128259
"414";"birds";"birds";"115";"130";5649,57485002032;0,0512131943113668
"415";"birds";"birds";"115";"138";9575,5038651475;0,086801605242721
"416";"birds";"birds";"115";"139";16265,6643078595;0,147447678596193
"417";"birds";"birds";"115";"14";0,0115538477915916;9,81519165672326e-08
