"species";"guild";"cell";"aggregated.communicability";"scaled.aggregated.communicability"
"Peraxilla_tetrapetala";"plants";"46";0,999999999999998;0
"Petroica_australis";"birds";"45";23617655,9325014;0
"Petroica_australis";"birds";"46";37238140,335209;1
"Petroica_macrocephala";"birds";"45";9290827,03043192;0
"Petroica_macrocephala";"birds";"46";9379504,25425954;1
"Phasianus_colchicus";"birds";"45";69429,5879041276;0
"Phasianus_colchicus";"birds";"46";1174411,19693141;1
"Phoenix_canariensis";"plants";"45";0,999999999999998;0
"Phoenix_canariensis";"plants";"46";20357026,60671;1
"Phormium_colensoi";"plants";"45";2,71828182845905;NA
"Phormium_colensoi";"plants";"46";2,71828182845905;NA
"Phormium_tenax";"plants";"45";2,71828182845905;NA
"Phormium_tenax";"plants";"46";2,71828182845905;NA
"Phyllocladus_trichomanoides";"plants";"45";163745,684428449;1
"Phyllocladus_trichomanoides";"plants";"46";2,71828182845905;0
"Phytolacca_icosandra";"plants";"45";0,999999999999998;0
"Phytolacca_icosandra";"plants";"46";19791138,4764729;1
"Pittosporum_crassifolium";"plants";"45";24614509,2212976;0
"Pittosporum_crassifolium";"plants";"46";39730904,5694619;1
"Pittosporum_eugenioides";"plants";"45";13595566,2340932;0
"Pittosporum_eugenioides";"plants";"46";23467411,9908151;1
"Pittosporum_tenuifolium";"plants";"45";9017196,25007009;0
"Pittosporum_tenuifolium";"plants";"46";12746944,6522971;1
"Plagianthus_regius";"plants";"45";4430126,96746653;0
"Plagianthus_regius";"plants";"46";8134602,76192696;1
"Platycercus_eximius";"birds";"45";0,999999999999998;0
"Platycercus_eximius";"birds";"46";4347829,27413671;1
"Podocarpus_nivalis";"plants";"45";6980921,07817762;0
"Podocarpus_nivalis";"plants";"46";11517684,6935832;1
"Podocarpus_totara";"plants";"45";34375920,5748388;0
"Podocarpus_totara";"plants";"46";60326357,3017985;1
"Porphyrio_melanotus";"birds";"45";1160985,8397823;0
"Porphyrio_melanotus";"birds";"46";1859018,5127489;1
"Prosthemadera_novaeseelandiae";"birds";"45";73587864,1628924;0
"Prosthemadera_novaeseelandiae";"birds";"46";137526949,574829;1
"Prumnopitys_ferruginea";"plants";"45";30126961,9455398;0
"Prumnopitys_ferruginea";"plants";"46";50139411,4231809;1
"Prumnopitys_taxifolia";"plants";"45";35174563,7310406;0
"Prumnopitys_taxifolia";"plants";"46";59496898,2811466;1
"Prunus_avium";"plants";"45";24032559,8486546;0
"Prunus_avium";"plants";"46";41615500,0562966;1
"Prunus_cerasifera";"plants";"45";15150034,1707769;0
"Prunus_cerasifera";"plants";"46";26390806,4888381;1
"Prunus_domestica";"plants";"45";20531449,5107085;0
"Prunus_domestica";"plants";"46";36797159,7876335;1
"Prunus_laurocerasus";"plants";"45";6145796,44288433;0
"Prunus_laurocerasus";"plants";"46";10130105,5158062;1
"Prunus_persica";"plants";"45";0,999999999999998;0
"Prunus_persica";"plants";"46";26570238,6967297;1
"Pseudopanax_arboreus";"plants";"45";38395709,2107403;0
"Pseudopanax_arboreus";"plants";"46";64277658,0272408;1
"Pseudopanax_crassifolius";"plants";"45";28150454,931856;0
"Pseudopanax_crassifolius";"plants";"46";44864269,2032876;1
"Pseudopanax_lessonii";"plants";"45";0,999999999999998;0
"Pseudopanax_lessonii";"plants";"46";50139411,4231809;1
"Pseudowintera_axillaris";"plants";"45";0,999999999999998;0
"Pseudowintera_axillaris";"plants";"46";47405479,5243868;1
"Pseudowintera_colorata";"plants";"45";27103105,3563606;0
"Pseudowintera_colorata";"plants";"46";47099402,1494699;1
"Pyrus_communis";"plants";"45";0,999999999999998;0
"Pyrus_communis";"plants";"46";257017,307939257;1
"Raukaua_edgerleyi";"plants";"45";25711348,1268164;1
"Raukaua_edgerleyi";"plants";"46";0,999999999999998;0
"Raukaua_simplex";"plants";"45";27012490,6792888;1
"Raukaua_simplex";"plants";"46";0,999999999999998;0
"Rhamnus_alaternus";"plants";"45";11094994,2199074;0
"Rhamnus_alaternus";"plants";"46";20627270,4010614;1
"Rhaphiolepis_loquata";"plants";"45";0,999999999999998;0
"Rhaphiolepis_loquata";"plants";"46";9746800,89948665;1
"Rhipidura_fuliginosa";"birds";"45";5304957,862252;0
"Rhipidura_fuliginosa";"birds";"46";5963027,81822288;1
"Rhopalostylis_sapida";"plants";"45";0,999999999999998;0
"Rhopalostylis_sapida";"plants";"46";9746800,89948665;1
"Ribes_sanguineum";"plants";"45";12839164,3385513;0
"Ribes_sanguineum";"plants";"46";22127910,4008065;1
"Ripogonum_scandens";"plants";"45";30126961,9455399;0
"Ripogonum_scandens";"plants";"46";50139411,4231809;1
"Rosa_rubiginosa";"plants";"45";5381418,0582134;0
"Rosa_rubiginosa";"plants";"46";9746800,89948665;1
"Rubus_australis";"plants";"45";2,71828182845905;NA
"Rubus_australis";"plants";"46";2,71828182845905;NA
"Rubus_cissoides";"plants";"45";12937568,347029;0
"Rubus_cissoides";"plants";"46";21647787,4911076;1
"Rubus_fruticosus";"plants";"45";20407334,334889;0
"Rubus_fruticosus";"plants";"46";34460942,314358;1
"Rubus_squarrosus";"plants";"45";12937568,347029;0
"Rubus_squarrosus";"plants";"46";21647787,4911076;1
"Sambucus_nigra";"plants";"45";26677243,235311;0
"Sambucus_nigra";"plants";"46";46267707,4675673;1
"Schefflera_digitata";"plants";"45";31533229,6055453;0
"Schefflera_digitata";"plants";"46";55234002,193115;1
"Solanum_aviculare";"plants";"45";21861913,8039782;0
"Solanum_aviculare";"plants";"46";36137604,670043;1
"Solanum_laciniatum";"plants";"45";24366373,4030854;0
"Solanum_laciniatum";"plants";"46";42004811,3795358;1
"Solanum_mauritianum";"plants";"45";0,999999999999998;0
"Solanum_mauritianum";"plants";"46";9746800,89948666;1
"Solanum_nigrum";"plants";"45";22650703,9276676;0
"Solanum_nigrum";"plants";"46";40009308,6256565;1
"Solanum_pseudocapsicum";"plants";"45";0,999999999999998;0
"Solanum_pseudocapsicum";"plants";"46";21264482,874788;1
"Sorbus_aucuparia";"plants";"45";14165539,7276134;0
"Sorbus_aucuparia";"plants";"46";25451617,3766441;1
"Sturnus_vulgaris";"birds";"45";38385991,3086568;0
"Sturnus_vulgaris";"birds";"46";72070717,9589861;1
"Styphelia_nesophila";"plants";"45";163745,684428449;1
"Styphelia_nesophila";"plants";"46";2,71828182845905;0
"Tadorna_variegata";"birds";"45";7,38905609893066;1
"Tadorna_variegata";"birds";"46";7,38905609893066;0
"Taxus_baccata";"plants";"45";8784124,38768185;0
"Taxus_baccata";"plants";"46";15704819,1954393;1
"Trachycarpus_fortunei";"plants";"45";5381418,0582134;0
"Trachycarpus_fortunei";"plants";"46";9746800,89948665;1
"Tropaeolum_speciosum";"plants";"45";11527211,7828159;0
"Tropaeolum_speciosum";"plants";"46";19876903,6970111;1
"Tupeia_antarctica";"plants";"45";0,999999999999998;0
"Tupeia_antarctica";"plants";"46";38621729,4478795;1
"Turdus_merula";"birds";"45";100441492,992841;0
"Turdus_merula";"birds";"46";179374469,985548;1
