"PLANTSPECIES";"BIRDSPECIES";"REFERENCE";"PLANTSTATUS";"BIRDSTATUS"
"Carpodetus_serratus";"Zosterops_lateralis";"Burrows 1994 NZ Nat Sci 21, 87-108.";"Native";"Native"
"Cestrum_nocturnum";"Zosterops_lateralis";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Native"
"Citrus_paradisi";"Gallirallus_australis";"Robertson 1976, Notornis 23: 213-219.";"Exotic";"Native"
"Citrus_sinensis";"Zosterops_lateralis";"Wotton & McAlpine. 2015. NZ J Ecol 39, 155-169.";"Exotic";"Native"
"Coprosma_acerosa";"Hymenolaimus_malacorhynchos";"CSN, Notornis 50";"Native";"Native"
"Coprosma_arborea";"Cyanoramphus_auriceps";"Greene 1990. NZ J Ecol, 22, 161-171.";"Native";"Native"
"Coprosma_arborea";"Cyanoramphus_novaezelandiae";"CSN, Notornis 43.";"Native";"Native"
"Coprosma_arborea";"Cyanoramphus_novaezelandiae";"Greene 1990. NZ J Ecol, 22, 161-171.";"Native";"Native"
"Coprosma_arborea";"Prosthemadera_novaeseelandiae";"CSN, Notornis 38.";"Native";"Native"
"Coprosma_areolata";"Anthornis_melanura";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_areolata";"Prosthemadera_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_cheesemanii";"Nestor_notabilis";"Greer et al. 2015 NZ J Ecol 39, 254-61.";"Native";"Native"
"Coprosma_colensoi";"Strigops_habroptila";"Wilson et al. 2006, Notornis 53, 80-89.";"Native";"Native"
"Coprosma_crassifolia";"Anthornis_melanura";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_crassifolia";"Prosthemadera_novaeseelandiae";"Baker 1999, Notornis 46: 270-272.";"Native";"Native"
"Coprosma_cuneata";"Finschia_novaeseelandiae";"O'Donnell & Dilks 1989, Notornis 36: 72-76.";"Native";"Native"
"Coprosma_cuneata";"Strigops_habroptila";"Butler, 2006, Notornis 53, 55-79.";"Native";"Native"
"Coprosma_depressa";"Nestor_notabilis";"Greer et al. 2015 NZ J Ecol 39, 254-61.";"Native";"Native"
