"landscape.category";"network.category";"dispersal.category";"replicate";"normalised.gce"
"sa01";"dd02";"dk04";9;0,0217240919075838
"sa01";"dd02";"dk05";1;0,0177200383391151
"sa01";"dd02";"dk05";10;0,0251798089103805
"sa01";"dd02";"dk05";2;0,0207597990117509
"sa01";"dd02";"dk05";3;0,0241088168416594
"sa01";"dd02";"dk05";4;0,0186511295624395
"sa01";"dd02";"dk05";5;0,0207741029170356
"sa01";"dd02";"dk05";6;0,022236678008773
"sa01";"dd02";"dk05";7;0,0226240989248481
"sa01";"dd02";"dk05";8;0,0224000293185247
"sa01";"dd02";"dk05";9;0,0236863567009636
"sa02";"dd02";"dk01";1;0,0159662334635409
"sa02";"dd02";"dk01";10;0,0200313463413963
"sa02";"dd02";"dk01";2;0,0147066305751493
"sa02";"dd02";"dk01";3;0,0242366410137055
"sa02";"dd02";"dk01";4;0,0301704329876079
"sa02";"dd02";"dk01";5;0,0232710269487498
"sa02";"dd02";"dk01";6;0,0205517579819409
"sa02";"dd02";"dk01";7;0,0122563896548281
"sa02";"dd02";"dk01";8;0,0214371167201245
"sa02";"dd02";"dk01";9;0,0229482959025861
"sa02";"dd02";"dk02";1;0,0214029311421067
"sa02";"dd02";"dk02";10;0,0247639249584783
"sa02";"dd02";"dk02";2;0,0230751234782075
"sa02";"dd02";"dk02";3;0,0200263213572582
"sa02";"dd02";"dk02";4;0,0241071887338702
"sa02";"dd02";"dk02";5;0,0272904121923644
"sa02";"dd02";"dk02";6;0,0237871841329723
"sa02";"dd02";"dk02";7;0,0215935512195086
"sa02";"dd02";"dk02";8;0,0237645993805609
"sa02";"dd02";"dk02";9;0,0220410552287038
"sa02";"dd02";"dk03";1;0,0202913378890647
"sa02";"dd02";"dk03";10;0,0212803619475391
"sa02";"dd02";"dk03";2;0,018485389348631
"sa02";"dd02";"dk03";3;0,0246935640166889
"sa02";"dd02";"dk03";4;0,0210348878995904
"sa02";"dd02";"dk03";5;0,0237787239897167
"sa02";"dd02";"dk03";6;0,0200810658435335
"sa02";"dd02";"dk03";7;0,0173090084170265
"sa02";"dd02";"dk03";8;0,0236145438074775
"sa02";"dd02";"dk03";9;0,0251464912296779
"sa02";"dd02";"dk04";1;0,0205476454375773
"sa02";"dd02";"dk04";10;0,017944864092245
"sa02";"dd02";"dk04";2;0,0187602778717706
"sa02";"dd02";"dk04";3;0,0264082442411404
"sa02";"dd02";"dk04";4;0,0228693496504093
"sa02";"dd02";"dk04";5;0,019554611126071
"sa02";"dd02";"dk04";6;0,0258504178626495
"sa02";"dd02";"dk04";7;0,0247412837827746
"sa02";"dd02";"dk04";8;0,0208282521758472
"sa02";"dd02";"dk04";9;0,019528919817439
"sa02";"dd02";"dk05";1;0,0185263725690734
"sa02";"dd02";"dk05";10;0,0259141521551723
"sa02";"dd02";"dk05";2;0,0195114400500361
"sa02";"dd02";"dk05";3;0,023709058057801
"sa02";"dd02";"dk05";4;0,0193050759527245
"sa02";"dd02";"dk05";5;0,0184270158229212
"sa02";"dd02";"dk05";6;0,0215078888504228
"sa02";"dd02";"dk05";7;0,0219332473369634
"sa02";"dd02";"dk05";8;0,0252200231014676
"sa02";"dd02";"dk05";9;0,0221679582940527
"sa03";"dd02";"dk01";1;0,0137403078523182
"sa03";"dd02";"dk01";10;0,0191767365424618
