"cell_id";"species";"deg"
1062;"Turdus_merula";22
1062;"Turdus_philomelos";6
1062;"Zosterops_lateralis";22
1063;"Coprosma_lucida";4
1063;"Geniostoma_ligustrifolium";1
1063;"Hedycarya_arborea";2
1063;"Leucopogon_fasciculatus";2
1063;"Melicytus_ramiflorus";6
1063;"Myrsine_australis";5
1063;"Pseudopanax_crassifolius";6
1063;"Ripogonum_scandens";4
1063;"Anthornis_melanura";21
1063;"Gerygone_igata";22
1063;"Mohoua_albicilla";15
1063;"Petroica_macrocephala";17
1063;"Prosthemadera_novaeseelandiae";22
1063;"Turdus_merula";27
1063;"Turdus_philomelos";6
1063;"Zosterops_lateralis";26
1064;"Beilschmiedia_tawa";1
1064;"Coprosma_lucida";5
1064;"Dacrydium_cupressinum";7
1064;"Elaeocarpus_dentatus";2
1064;"Hedycarya_arborea";3
1064;"Leucopogon_fasciculatus";3
1064;"Melicytus_ramiflorus";7
1064;"Myrsine_australis";6
1064;"Prumnopitys_ferruginea";5
1064;"Pseudopanax_crassifolius";7
1064;"Rhopalostylis_sapida";1
1064;"Ripogonum_scandens";5
1064;"Anthornis_melanura";26
1064;"Gerygone_igata";26
1064;"Hemiphaga_novaeseelandiae";25
1064;"Mohoua_albicilla";17
1064;"Petroica_australis";9
1064;"Petroica_macrocephala";21
1064;"Prosthemadera_novaeseelandiae";27
1064;"Turdus_merula";32
1064;"Zosterops_lateralis";31
1065;"Beilschmiedia_tawa";1
1065;"Carpodetus_serratus";5
1065;"Coprosma_lucida";5
1065;"Dacrydium_cupressinum";7
1065;"Hedycarya_arborea";3
1065;"Leucopogon_fasciculatus";2
1065;"Melicytus_ramiflorus";6
1065;"Myrsine_australis";6
1065;"Prumnopitys_ferruginea";5
1065;"Pseudopanax_crassifolius";7
1065;"Ripogonum_scandens";5
1065;"Anthornis_melanura";28
1065;"Gerygone_igata";27
1065;"Hemiphaga_novaeseelandiae";23
1065;"Mohoua_albicilla";15
1065;"Petroica_macrocephala";24
1065;"Prosthemadera_novaeseelandiae";31
1065;"Turdus_merula";34
1065;"Zosterops_lateralis";34
1066;"Beilschmiedia_tawa";1
1066;"Carpodetus_serratus";5
1066;"Coprosma_lucida";5
1066;"Coprosma_rhamnoides";3
1066;"Dacrycarpus_dacrydioides";5
1066;"Dacrydium_cupressinum";7
1066;"Elaeocarpus_dentatus";2
1066;"Hedycarya_arborea";3
1066;"Leucopogon_fasciculatus";2
1066;"Melicytus_ramiflorus";6
1066;"Myrsine_australis";6
1066;"Nestegis_lanceolata";1
1066;"Prumnopitys_ferruginea";5
1066;"Pseudopanax_crassifolius";7
1066;"Rhopalostylis_sapida";1
1066;"Ripogonum_scandens";5
1066;"Rubus_cissoides";2
1066;"Schefflera_digitata";5
1066;"Anthornis_melanura";33
1066;"Gerygone_igata";29
1066;"Hemiphaga_novaeseelandiae";27
1066;"Mohoua_albicilla";15
