"x";"y";"direct.effect";"net.effect";"diag"
19;4;-0,0825129103115646;1,76002856000905;FALSE
20;4;0;-3,68864319683527e-16;FALSE
21;4;0;1,32932239763709;FALSE
22;4;0;-3,32546490344754e-15;FALSE
23;4;0;2,55297085555162e-15;FALSE
24;4;0;4,57576869201273;FALSE
25;4;0;4,66559299874825e-16;FALSE
26;4;-0,283011602275973;-1,90590449041678;FALSE
27;4;0;0,134663734458687;FALSE
28;4;0;-8,60422844084496e-15;FALSE
29;4;0;-6,84998932576342e-16;FALSE
30;4;0;9,20976382450759e-16;FALSE
31;4;0;4,38776619204884e-16;FALSE
32;4;0;6,69454183928331e-16;FALSE
33;4;0;-0,430917822388357;FALSE
34;4;0;-6,55291793050239e-16;FALSE
35;4;0;-1,38257461035352e-15;FALSE
36;4;0;1,97981754146252e-15;FALSE
37;4;0;1,51031117097036;FALSE
38;4;-0,218808183671676;2,83523905261624;FALSE
39;4;0;-8,33104337469651e-16;FALSE
40;4;0;-9,48785321142065e-16;FALSE
41;4;0;7,66015939915321e-16;FALSE
42;4;0;-1,40122288772027e-15;FALSE
43;4;0;1,49859101907304e-15;FALSE
44;4;-0,408790074013047;-5,18395996090261;FALSE
45;4;0;-2,23771196884714e-15;FALSE
46;4;0;3,06005221162309e-15;FALSE
47;4;0;2,15964138481936e-15;FALSE
48;4;0;2,76365612324242;FALSE
49;4;0;-4,49293380277993e-16;FALSE
50;4;0;-3,421633636147e-15;FALSE
1;5;0;-1,43877694046973e-15;FALSE
2;5;0;8,59783440088438e-16;FALSE
3;5;0;-9,0877826097735e-16;FALSE
4;5;0;-4,32207455182453e-16;FALSE
5;5;-0,295566384058969;3,22739745198477;TRUE
6;5;0;-1,8303685702613e-15;FALSE
7;5;0;-0,101852074906205;FALSE
8;5;0;2,4414877671658e-16;FALSE
9;5;0;-0,208704286105327;FALSE
10;5;0;0,0956612521779706;FALSE
11;5;0;-0,298249665017521;FALSE
12;5;-0,0463612855269931;-0,834887754239681;FALSE
13;5;0;0,0163965872141119;FALSE
14;5;0;4,32071069643055e-16;FALSE
15;5;0;-0,110408128899008;FALSE
16;5;0;0,0835537512006442;FALSE
17;5;0;-1,93599544490337e-16;FALSE
18;5;0;1,21824598342144e-15;FALSE
19;5;0;0,148461754583579;FALSE
20;5;0;-1,19741400383147e-15;FALSE
21;5;0;0,116854368161795;FALSE
22;5;0;6,87113126812688e-17;FALSE
23;5;0;-6,1637486428864e-16;FALSE
24;5;0;0,111580681944361;FALSE
25;5;0;-4,36424832226832e-16;FALSE
26;5;0;-0,0904072820465185;FALSE
27;5;0;-0,0438822307864974;FALSE
28;5;0;-1,29583843655467e-14;FALSE
29;5;0;4,96944065758731e-16;FALSE
30;5;0;-5,89128024602066e-16;FALSE
31;5;0;5,71621243245749e-16;FALSE
32;5;0;-9,32107136531509e-16;FALSE
33;5;0;-0,0378799228496928;FALSE
34;5;0;-3,0492508474797e-16;FALSE
35;5;0;-1,82612171911734e-15;FALSE
36;5;0;-2,94613570345892e-16;FALSE
37;5;0;0,0617019390316118;FALSE
38;5;0;0,295052597129308;FALSE
39;5;0;-2,98096199248088e-16;FALSE
40;5;0;3,37771328376597e-16;FALSE
41;5;0;1,20610927183671e-15;FALSE
42;5;0;2,5620781538005e-15;FALSE
43;5;0;-1,84559267723411e-16;FALSE
44;5;0;-0,132918357970325;FALSE
45;5;0;-1,36457431319141e-15;FALSE
46;5;0;4,4071192008277e-15;FALSE
47;5;0;-1,02878099296156e-16;FALSE
48;5;0;0,305525666605853;FALSE
49;5;0;7,31023314798351e-16;FALSE
50;5;0;-5,17967423509583e-16;FALSE
1;6;0;4,54497550705923e-16;FALSE
2;6;0;-1,4365276444783e-16;FALSE
3;6;0;-2,17653586126465e-16;FALSE
4;6;0;6,17825831727287e-18;FALSE
5;6;0;0,539619603474084;FALSE
6;6;-2,98464892450102;0,335047781261973;TRUE
7;6;0;0,454642540333598;FALSE
8;6;0;5,26136209252903e-16;FALSE
9;6;0;0,202715392320619;FALSE
10;6;0;-0,194355658480693;FALSE
11;6;0;0,215232930393795;FALSE
12;6;0;0,758585756287415;FALSE
13;6;0;-0,011832655417545;FALSE
14;6;0;-1,98998850133492e-16;FALSE
15;6;0;0,211066915440706;FALSE
16;6;0;-0,28913711081292;FALSE
17;6;0;4,29438927994352e-16;FALSE
18;6;0;5,35819489905914e-16;FALSE
19;6;0;-0,145571516065801;FALSE
20;6;0;1,95157979234167e-17;FALSE
21;6;-0,613606808294066;-0,414138772565375;FALSE
22;6;0;-4,07334756202804e-16;FALSE
23;6;0;-1,07383448921111e-16;FALSE
24;6;0;-0,498068642568671;FALSE
25;6;0;-4,31553122230699e-16;FALSE
26;6;0;0,160090499297078;FALSE
27;6;-0,0362776861198689;-0,0606339180932216;FALSE
28;6;0;1,46757606067638e-15;FALSE
29;6;0;-5,25567003112348e-17;FALSE
30;6;0;4,79525468473157e-17;FALSE
31;6;0;-2,47448817079082e-16;FALSE
32;6;0;2,80152759172571e-16;FALSE
33;6;0;0,134248680649389;FALSE
34;6;0;-1,89532092277622e-16;FALSE
35;6;0;1,74231289118421e-15;FALSE
36;6;0;-1,30985174963405e-16;FALSE
37;6;0;-0,135654140021915;FALSE
38;6;0;-0,212925754993589;FALSE
39;6;0;6,46322137655289e-17;FALSE
40;6;0;4,45674855527323e-17;FALSE
41;6;0;-5,16893385732464e-17;FALSE
42;6;0;2,0643209364124e-16;FALSE
43;6;0;4,6821440225376e-17;FALSE
44;6;0;0,501726665339459;FALSE
45;6;0;-1,57124611715673e-16;FALSE
46;6;0;-1,15315743065558e-15;FALSE
47;6;0;-2,16088382692162e-16;FALSE
48;6;0;-0,132918123402748;FALSE
49;6;0;2,27682456221956e-17;FALSE
50;6;0;1,8405687130657e-16;FALSE
1;7;0;-2,04263689296269e-15;FALSE
2;7;0;6,66476016085785e-16;FALSE
3;7;0;-5,42708239459344e-15;FALSE
4;7;0;1,05221820839718e-15;FALSE
5;7;0;7,90919370823514;FALSE
6;7;0;-2,6002996685124e-15;FALSE
7;7;-0,633688239642234;6,53118212933793;TRUE
8;7;0;6,50130990709208e-15;FALSE
9;7;0;4,13502172100753;FALSE
10;7;0;-2,39601830796725;FALSE
11;7;0;4,75997564025533;FALSE
12;7;0;10,4880248155224;FALSE
13;7;0;-0,261684638331096;FALSE
14;7;0;-2,00696833555381e-15;FALSE
15;7;0;2,8112389622067;FALSE
16;7;-0,196616654956637;-4,23787683571184;FALSE
17;7;0;3,83157047756377e-15;FALSE
18;7;0;3,57092827529826e-15;FALSE
19;7;0;-2,962590956555;FALSE
20;7;0;3,27937805254567e-16;FALSE
21;7;0;-2,31521527209927;FALSE
22;7;0;3,75220687853783e-15;FALSE
23;7;0;-3,4890710112756e-15;FALSE
24;7;-0,334991326566268;-7,15502120664116;FALSE
25;7;0;-2,09408228604713e-15;FALSE
26;7;0;2,19313526476736;FALSE
27;7;0;0,820124403450339;FALSE
28;7;0;7,82707232360735e-15;FALSE
29;7;0;1,30429521350006e-15;FALSE
30;7;0;-1,52583837492032e-15;FALSE
31;7;0;-1,06804756011547e-15;FALSE
32;7;0;-6,71398971575227e-16;FALSE
33;7;0;0,750508323027334;FALSE
34;7;0;1,4209553672595e-15;FALSE
35;7;0;4,82947015711943e-15;FALSE
36;7;0;-2,59606111564434e-15;FALSE
37;7;-0,0503332707534591;-1,85634222322471;FALSE
38;7;0;-4,70895139093308;FALSE
39;7;0;2,70343270610419e-15;FALSE
40;7;0;6,53990750443256e-16;FALSE
41;7;0;-1,49110324781931e-15;FALSE
42;7;0;3,40005801291454e-15;FALSE
